"time_sec","total_count","normal_ratio","blank_screen_ratio","end_early_ratio","no_act_ratio","no_delivery_ratio","handoff_ratio","refresh_ratio"
"2018-09-14 08:00:00",6,0,0,0,0,6,0,0
"2018-09-14 08:15:00",8,0,0,0,0,8,0,0
"2018-09-14 08:30:00",6,0,0,0,0,6,0,0
"2018-09-14 08:45:00",5,0,0,0,0,5,0,0
"2018-09-14 09:00:00",3,0,0,0,0,3,0,0
"2018-09-14 09:15:00",5,0,0,0,0,5,0,0
"2018-09-14 09:30:00",10,0,0,0,0,10,0,0
"2018-09-14 09:45:00",10,0,0,0,0,10,0,0
"2018-09-14 10:00:00",9,0,0,0,0,9,0,0
"2018-09-14 10:15:00",13,0,0,0,0,13,0,0
"2018-09-14 10:30:00",17,0,0,0,0,17,0,0
"2018-09-14 10:45:00",18,0,0,0,0,18,0,0
"2018-09-14 11:00:00",10,0,0,0,0,10,0,0
"2018-09-14 11:15:00",5,0,0,0,0,5,0,0
"2018-09-14 11:30:00",5,0,0,0,0,5,0,0
"2018-09-14 12:00:00",1,0,0,0,0,1,0,0
"2018-09-14 12:15:00",5,0,0,0,0,5,0,0
"2018-09-14 12:45:00",1,0,0,0,0,1,0,0
"2018-09-14 13:15:00",1,0,0,0,0,1,0,0
"2018-09-14 13:30:00",1,0,0,0,0,1,0,0
"2018-09-14 14:00:00",1,0,0,0,0,1,0,0
"2018-09-14 14:15:00",1,0,0,0,0,1,0,0
"2018-09-14 14:45:00",1,0,0,0,0,1,0,0
"2018-09-14 15:15:00",1,0,0,0,0,1,0,0
"2018-09-14 15:30:00",4,0,0,0,0,4,0,0
"2018-09-14 16:00:00",1,0,0,0,0,1,0,0
"2018-09-14 16:15:00",1,0,0,0,0,1,0,0
"2018-09-14 16:30:00",1,0,0,0,0,1,0,0
"2018-09-14 16:45:00",1,0,0,0,0,1,0,0
"2018-09-14 17:15:00",6,0,0,0,0,6,0,0
"2018-09-14 17:30:00",1,0,0,0,0,1,0,0
"2018-09-14 17:45:00",1,0,0,0,0,1,0,0
"2018-09-14 18:00:00",1,0,0,0,0,1,0,0
"2018-09-14 18:15:00",1,0,0,0,0,1,0,0
"2018-09-14 18:30:00",2,0,0,0,0,2,0,0
"2018-09-14 19:00:00",7,0,0,0,0,7,0,0
"2018-09-14 20:30:00",1,0,0,0,0,1,0,0
"2018-09-14 21:00:00",2,0,0,0,0,2,0,0
"2018-09-14 21:15:00",2,0,0,0,0,2,0,0
"2018-09-14 21:30:00",1,0,0,0,0,1,0,0
"2018-09-14 21:45:00",1,0,0,0,0,1,0,0
"2018-09-14 22:00:00",2,0,0,0,0,2,0,0
"2018-09-14 22:15:00",8,0,0,0,0,8,0,0
"2018-09-14 22:30:00",1,0,0,0,0,1,0,0
"2018-09-14 23:00:00",1,0,0,0,0,1,0,0
"2018-09-14 23:15:00",1,0,0,0,0,1,0,0
"2018-09-15 00:15:00",2,0,0,0,0,2,0,0
"2018-09-15 00:30:00",5,0,0,0,0,5,0,0
"2018-09-15 00:45:00",4,0,0,0,0,4,0,0
"2018-09-15 01:00:00",5,0,0,0,0,5,0,0
"2018-09-15 01:15:00",2,0,0,0,0,2,0,0
"2018-09-15 01:30:00",1,0,0,0,0,1,0,0
"2018-09-15 01:45:00",1,0,0,0,0,1,0,0
"2018-09-15 02:00:00",2,0,0,0,0,2,0,0
"2018-09-15 02:15:00",3,0,0,0,0,3,0,0
"2018-09-15 02:30:00",1,0,0,0,0,1,0,0
"2018-09-15 03:15:00",1,0,0,0,0,1,0,0
"2018-09-15 03:30:00",2,0,0,0,0,2,0,0
"2018-09-15 04:00:00",2,0,0,0,0,2,0,0
"2018-09-15 04:15:00",2,0,0,0,0,2,0,0
"2018-09-15 04:30:00",2,0,0,0,0,2,0,0
"2018-09-15 05:00:00",1,0,0,0,0,1,0,0
"2018-09-15 05:15:00",1,0,0,0,0,1,0,0
"2018-09-15 05:30:00",2,0,0,0,0,2,0,0
"2018-09-15 05:45:00",4,0,0,0,0,4,0,0
"2018-09-15 06:00:00",4,0,0,0,0,4,0,0
"2018-09-15 06:30:00",1,0,0,0,0,1,0,0
"2018-09-15 07:15:00",1,0,0,0,0,1,0,0
"2018-09-15 07:30:00",3,0,0,0,0,3,0,0
"2018-09-15 07:45:00",1,0,0,0,0,1,0,0
"2018-09-15 08:00:00",1,0,0,0,0,1,0,0
"2018-09-15 08:30:00",1,0,0,0,0,1,0,0
"2018-09-15 08:45:00",1,0,0,0,0,1,0,0
"2018-09-15 09:00:00",4,0,0,0,0,4,0,0
"2018-09-15 09:15:00",2,0,0,0,0,2,0,0
"2018-09-15 09:30:00",2,0,0,0,0,2,0,0
"2018-09-15 09:45:00",4,0,0,0,0,4,0,0
"2018-09-15 10:00:00",6,0,0,0,0,6,0,0
"2018-09-15 10:15:00",1,0,0,0,0,1,0,0
"2018-09-15 10:30:00",3,0,0,0,0,3,0,0
"2018-09-15 10:45:00",3,0,0,0,0,3,0,0
"2018-09-15 11:15:00",1,0,0,0,0,1,0,0
"2018-09-15 11:30:00",1,0,0,0,0,1,0,0
"2018-09-15 12:15:00",2,0,0,0,0,2,0,0
"2018-09-15 12:30:00",1,0,0,0,0,1,0,0
"2018-09-15 12:45:00",3,0,0,0,0,3,0,0
"2018-09-15 13:00:00",2,0,0,0,0,2,0,0
"2018-09-15 13:15:00",1,0,0,0,0,1,0,0
"2018-09-15 13:30:00",2,0,0,0,0,2,0,0
"2018-09-15 13:45:00",1,0,0,0,0,1,0,0
